,hu_szeged-ud-dev_Case=Ine,hu_szeged-ud-test_Case=Ine,hu_szeged-ud-train_Case=Ine,fi_ood-ud-test_Case=Ine,et_ewt-ud-train_Case=Ine,et_ewt-ud-test_Case=Ine,et_ewt-ud-dev_Case=Ine,si_stb-ud-test_Case=Ine,olo_kkpp-ud-test_Case=Ine,olo_kkpp-ud-train_Case=Ine,mdf_jr-ud-test_Case=Ine,mdf_jr-ud-train_Case=Ine,vep_vwt-ud-test_Case=Ine,fi_tdt-ud-train_Case=Ine,fi_tdt-ud-test_Case=Ine,fi_tdt-ud-dev_Case=Ine,myv_jr-ud-test_Case=Ine,myv_jr-ud-train_Case=Ine,kpv_ikdp-ud-test_Case=Ine,kpv_lattice-ud-test_Case=Ine,kpv_lattice-ud-train_Case=Ine,fi_pud-ud-test_Case=Ine,et_edt-ud-dev_Case=Ine,et_edt-ud-train_Case=Ine,et_edt-ud-test_Case=Ine,koi_uh-ud-train_Case=Ine,koi_uh-ud-test_Case=Ine,arr_tudet-ud-test_Case=Ine,krl_kkpp-ud-test_Case=Ine,eu_bdt-ud-train_Case=Ine,eu_bdt-ud-test_Case=Ine,eu_bdt-ud-dev_Case=Ine,fi_ftb-ud-dev_Case=Ine,fi_ftb-ud-train_Case=Ine,fi_ftb-ud-test_Case=Ine,ab_abnc-ud-test_Case=Ine
10,0.8699997428550547,0.8536821546176153,0.8634901584792073,0.9365190030909905,0.9306956743455187,0.9239310861089783,0.9253149907150808,0.950111522301511,0.8984547115566608,0.6586304070378879,1.0000000000000002,0.8139172509736501,0.910677775198959,0.9337210737537068,0.9340021337730784,0.9350477838981057,0.9941274244678023,0.992595697754361,0.9749566389368474,0.9555493059069181,0.8594504316938512,0.9251280900847783,0.9304938019941635,0.9265297466951044,0.922074611877027,0.8594504316938512,0.9376115510613655,0.7068228758455383,0.905518925795885,0.9072554439659883,0.9127710815281522,0.9084148434727455,0.7826043664005385,0.7935499467377201,0.7889105750969954,0.8192719697300557
11,0.5509533297870403,0.533728888648482,0.5444819994909907,0.6314735660090544,0.61894285453757,0.6115266828848981,0.6154697044255557,0.8416254115301731,0.5902813361009552,0.4999999999999999,0.8139172509736501,0.9999999999999998,0.594650843494272,0.6251531783956957,0.6261494759495512,0.6266613315578432,0.833278550219621,0.836999030910529,0.7373087284671364,0.7946003988553761,0.8660254037844388,0.6136709807743526,0.6210122265968078,0.6151013514252054,0.6101392189649203,0.8660254037844388,0.8860760232362956,0.4999999999999999,0.5868022567072304,0.5909416504653622,0.5962650767920467,0.5912281986968918,0.5756076053211006,0.5834152665052023,0.5798218616489136,0.4999999999999999
12,0.9744312392435779,0.9704509413381556,0.9738627672362437,0.9839138366690302,0.9932928310397373,0.9931635786642756,0.9912671887820775,0.8614284004278282,0.9782532161638308,0.594650843494272,0.910677775198959,0.594650843494272,1.0,0.9894353154212082,0.9897042586992488,0.9900737345440985,0.8768700386016087,0.8847953121998052,0.9314229125463331,0.8267873296474733,0.686643649130512,0.9927317114376444,0.9912096704279536,0.9929644880271338,0.9934240578440497,0.686643649130512,0.754517359837982,0.594650843494272,0.9882295349416068,0.9817513753414268,0.9806186067204934,0.982026881322697,0.763453507848264,0.7707585737017194,0.7685710809760171,0.9566122264907854
13,0.9664695350113411,0.9579323925255505,0.96362564203903,0.994451899000559,0.9973345916891092,0.9969701997672517,0.9965139203659258,0.8801908853507515,0.9848723793077638,0.6305971828519717,0.9337210737537068,0.6251531783956957,0.9894353154212082,0.9999999999999998,0.9998795271030908,0.9997590843418886,0.903990211030324,0.9087462216825453,0.9505282762511901,0.8611705495046953,0.723043373202373,0.9984853538838921,0.9974206151433329,0.9977133503440228,0.997476715082526,0.723043373202373,0.7942350793516829,0.6252665951552014,0.9879195190488882,0.987276668984065,0.9875508097915847,0.9877163456565938,0.7780417014982491,0.7877687813155015,0.7826638217776047,0.9369358502770033
14,0.965363997769471,0.9568988717458409,0.9626588716983667,0.9951702150519719,0.9972707318019836,0.9970249200145785,0.9963080512498019,0.8820329487114815,0.9851052907053476,0.629961649319107,0.9340021337730784,0.6261494759495512,0.9897042586992488,0.9998795271030908,0.9999999999999999,0.9996227674436604,0.90465235090842,0.9099446721382314,0.95093093859047,0.8619747563614624,0.7246658564756661,0.9985111289224545,0.9971290243516956,0.997299814711454,0.9972730117398478,0.7246658564756661,0.7946179514320885,0.6261494759495512,0.9870880840010381,0.9867372818779758,0.9869921593204197,0.9870245788681136,0.778010489296545,0.7875983070076101,0.7826092385942643,0.9358885622259654
15,0.9648656884167102,0.9561432955290406,0.9620219428409853,0.9936334147242766,0.9978007134004477,0.9972170585219223,0.9966591724726714,0.8823327667185361,0.9838587816568626,0.633972380426018,0.9350477838981057,0.6266613315578432,0.9900737345440985,0.9997590843418886,0.9996227674436604,1.0000000000000004,0.9053107789833629,0.9104156904474939,0.9515944025379951,0.8626423205553989,0.7254151923736285,0.9979522802224372,0.9983371809762429,0.9983746336775527,0.9976066195624373,0.7254151923736285,0.7967819949329683,0.6266613315578432,0.9873506940559197,0.9852609422839974,0.9856345120497227,0.9858417909131213,0.7854706489022683,0.7946588792088644,0.7897713950549423,0.9347698195737828
16,0.8332792172684641,0.8156501516109343,0.8265816051587168,0.9087380934286506,0.8997681221125023,0.8926286446279796,0.8948259058381013,0.9456556742934873,0.8678078650461437,0.6563671041729938,0.9941274244678023,0.833278550219621,0.8768700386016087,0.903990211030324,0.90465235090842,0.9053107789833629,0.9999999999999994,0.9932155561779118,0.9544474678879641,0.9475121959500672,0.8615276075462073,0.8943057923204968,0.8997248568810763,0.8949389558911951,0.8906492238317809,0.8615276075462073,0.9387830992538092,0.6973900481838059,0.8708837369160491,0.8745656673766761,0.8803931954820773,0.8753597664518101,0.7682113639623684,0.778960045623242,0.7743192424042177,0.7794359362054302
17,0.8292078106949072,0.8106341378228852,0.8220218589950326,0.920093729514227,0.9074831432370152,0.897785210910316,0.8983736416175349,0.9615556922722043,0.8645380408991723,0.6603845564982155,0.992595697754361,0.836999030910529,0.8847953121998052,0.9087462216825453,0.9099446721382314,0.9104156904474939,0.9932155561779118,1.0,0.9575633827405008,0.952383042327082,0.8674704234834572,0.8978234507703652,0.9037274198588721,0.8980143902308406,0.8930670470194718,0.8674704234834572,0.9420359173405728,0.6885404872016277,0.8707446911719555,0.8704780632858887,0.8762716072274052,0.8715042988325198,0.7787869188129068,0.7903247608088592,0.7864826092215433,0.7730082793118647
18,0.8955281319790329,0.8819485714875916,0.8901544034678036,0.9518294968819944,0.9476151083415219,0.9419272998498915,0.943671547568104,0.9237089888906512,0.9194013656197842,0.6553855364152323,0.9749566389368474,0.7373087284671364,0.9314229125463331,0.9505282762511901,0.95093093859047,0.9515944025379951,0.9544474678879641,0.9575633827405008,1.0,0.9673096206395416,0.8395461914667139,0.9442791191405004,0.9470923510500242,0.9443326490454087,0.9410236340497641,0.8395461914667139,0.9231831282703478,0.7885107234995764,0.9273843973039538,0.9366686916371073,0.9440485044145942,0.9374845554619534,0.7817986669718126,0.7924439273576177,0.7880335748394649,0.8499531175385044
19,0.7750869982042142,0.7546173324734358,0.7668552072308816,0.8697346859601797,0.855340951296202,0.8460349519580732,0.84874370737467,0.914421315819237,0.8168277073897422,0.6513561092658016,0.9555493059069181,0.7946003988553761,0.8267873296474733,0.8611705495046953,0.8619747563614624,0.8626423205553989,0.9475121959500672,0.952383042327082,0.9673096206395416,1.0,0.8457463019187614,0.8479326978359845,0.8554985510744508,0.8489860815938786,0.8430300707619564,0.8457463019187614,0.9778580846621271,0.8567630150923614,0.8205688521024594,0.8370281726224148,0.8492428163940746,0.8383564544046351,0.7573730722515545,0.7689016168845275,0.7639899097970733,0.7135187255027868
20,0.637468739806225,0.6213903989971682,0.630028958489703,0.7299623873300294,0.714980903649655,0.7061301899604697,0.7106831990563081,0.8574929257125443,0.6815981765909971,0.5773502691896258,0.8594504316938512,0.8660254037844388,0.686643649130512,0.723043373202373,0.7246658564756661,0.7254151923736285,0.8615276075462073,0.8674704234834572,0.8395461914667139,0.8457463019187614,1.0000000000000002,0.7107448624267653,0.7186461060801664,0.7115879325504535,0.7048258564275517,1.0000000000000002,0.891132788679007,0.5773502691896258,0.6775808817419989,0.6840625390840739,0.6920084913165994,0.6838615133751553,0.6646544117594667,0.6736699223322317,0.6695206158100606,0.5773502691896258
21,0.9761062533120136,0.9697263537459626,0.9742124664814704,0.9920334040393247,0.997156239877722,0.9983851662409603,0.996941859120079,0.8692580334381805,0.9907624566207315,0.6186099826316914,0.9251280900847783,0.6136709807743526,0.9927317114376444,0.9984853538838921,0.9985111289224545,0.9979522802224372,0.8943057923204968,0.8978234507703652,0.9442791191405004,0.8479326978359845,0.7107448624267653,1.0,0.996538188813742,0.9976038662155767,0.9989580116083379,0.7107448624267653,0.7777163924165085,0.6136709807743526,0.9930250144368268,0.9917104457116003,0.9911580692563614,0.991796579555964,0.7545249317960598,0.7634178128303257,0.7587823367717356,0.951992608002064
22,0.9647320840445941,0.9565750526851206,0.9620668900502835,0.9881796033173003,0.9968340283050297,0.9973424860163834,0.9956257739759049,0.8762369679280199,0.9856534259807442,0.6361720717098946,0.9304938019941635,0.6210122265968078,0.9912096704279536,0.9974206151433329,0.9971290243516956,0.9983371809762429,0.8997248568810763,0.9037274198588721,0.9470923510500242,0.8554985510744508,0.7186461060801664,0.996538188813742,1.0,0.999545474080826,0.9978303959743903,0.7186461060801664,0.7913266482615934,0.6210122265968078,0.9881018409998031,0.9826412908982769,0.9827849026196643,0.9833601373246588,0.7931388579209421,0.800402758466443,0.7959428452067793,0.936120435733113
23,0.9705938049083966,0.9633779579522516,0.9683655617909062,0.9875906995443673,0.9971023970008873,0.9978266361806408,0.9967859799925259,0.870549536242892,0.9869062648413205,0.627340025318263,0.9265297466951044,0.6151013514252054,0.9929644880271338,0.9977133503440228,0.997299814711454,0.9983746336775527,0.8949389558911951,0.8980143902308406,0.9443326490454087,0.8489860815938786,0.7115879325504535,0.9976038662155767,0.999545474080826,1.0,0.9989909863140868,0.7115879325504535,0.7832410944309587,0.6151013514252054,0.990891433562539,0.9862600283015901,0.9860700338748759,0.9869369944326783,0.784374609222208,0.7919371892645518,0.7874747147629455,0.9445376557465701
24,0.9766719872367455,0.9706291338934268,0.975147338615152,0.9878148505724599,0.997136447025674,0.9988609106703048,0.9979631194853031,0.8654399534293157,0.991031813942863,0.6225173603471333,0.922074611877027,0.6101392189649203,0.9934240578440497,0.997476715082526,0.9972730117398478,0.9976066195624373,0.8906492238317809,0.8930670470194718,0.9410236340497641,0.8430300707619564,0.7048258564275517,0.9989580116083379,0.9978303959743903,0.9989909863140868,1.0000000000000002,0.7048258564275517,0.774038250166218,0.6101392189649203,0.9936863642147108,0.9903128085642335,0.9895996787403061,0.9906271277702123,0.7614792791296436,0.7692262451708882,0.764755990965272,0.9536326423213336
