,Treebank,kpv_ikdp-ud-test_Case=Prp,kpv_lattice-ud-test_Case=Prp
180,tr_tourism-ud-dev_Case=Loc,31.206970375222262,22.155699041104526
181,tr_tourism-ud-test_Case=Loc,114.96086290559931,98.90904913100722
182,ab_abnc-ud-test_Case=Loc,1.0,21.494185260204677
183,cs_poetry-ud-test_Case=Loc,1.656630811562137,19.580928664247764
184,ru_gsd-ud-test_Case=Loc,1.0,21.494185260204677
185,ru_gsd-ud-dev_Case=Loc,1.0,21.494185260204677
186,ru_gsd-ud-train_Case=Loc,1.0,21.494185260204677
187,aqz_tudet-ud-test_Case=Loc,2.8284271247461903,19.313207915827967
188,tr_imst-ud-train_Case=Loc,1386.7213130258003,1371.425171126737
189,tr_imst-ud-dev_Case=Loc,1.0,21.494185260204677
190,tr_imst-ud-test_Case=Loc,1.0,21.494185260204677
191,lv_cairo-ud-test_Case=Loc,1.0,21.494185260204677
192,gu_gujtb-ud-test_Case=Loc,1.0,21.494185260204677
193,bej_nsc-ud-test_Case=Loc,7.96830139744311,17.024310866928715
194,tr_boun-ud-dev_Case=Loc,615.9366850578069,603.1260233151941
195,tr_boun-ud-test_Case=Loc,337.66181306153055,324.96999861525677
196,tr_boun-ud-train_Case=Loc,810.0993766199305,797.3324275357174
197,tr_penn-ud-dev_Case=Loc,43.321793335199985,31.724508576878613
198,tr_penn-ud-test_Case=Loc,87.17726194369722,71.88793361893218
199,tr_penn-ud-train_Case=Loc,63.19425633314567,48.606356202523095
