Nombre d'accusatifs = 291
ar_padt-ud-test, Nearest=Gen, Distance=0.00183, Self=0.00183, Diff=0.00000
lt_alksnis-ud-test, Nearest=Acc, Distance=0.00145, Self=0.00216, Diff=0.00071
lt_alksnis-ud-dev, Nearest=Gen, Distance=0.00096, Self=0.00096, Diff=0.00000
lt_alksnis-ud-train, Nearest=Gen, Distance=0.00099, Self=0.00099, Diff=0.00000
cu_proiel-ud-train, Nearest=Dat, Distance=0.00467, Self=0.00745, Diff=0.00278
cu_proiel-ud-test, Nearest=Dat, Distance=0.00478, Self=0.00737, Diff=0.00258
cu_proiel-ud-dev, Nearest=Dat, Distance=0.00438, Self=0.00699, Diff=0.00261
olo_kkpp-ud-test, Nearest=Gen, Distance=0.00067, Self=0.00067, Diff=0.00000
olo_kkpp-ud-train, Nearest=Gen, Distance=0.00516, Self=0.00516, Diff=0.00000
hy_bsut-ud-train, Nearest=Dat, Distance=0.00352, Self=0.00559, Diff=0.00207
hy_bsut-ud-test, Nearest=Acc, Distance=0.00279, Self=0.00294, Diff=0.00015
hy_bsut-ud-dev, Nearest=Gen, Distance=0.00516, Self=0.00516, Diff=0.00000w
mdf_jr-ud-test, Nearest=Dat, Distance=0.00530, Self=0.00719, Diff=0.00189
mdf_jr-ud-train, Nearest=Gen, Distance=0.00208, Self=0.00208, Diff=0.00000
vep_vwt-ud-test, Nearest=Acc, Distance=0.00333, Self=0.00482, Diff=0.00149
la_llct-ud-dev, Nearest=Gen, Distance=0.00406, Self=0.00406, Diff=0.00000
la_llct-ud-test, Nearest=Gen, Distance=0.00476, Self=0.00476, Diff=0.00000
la_llct-ud-train, Nearest=Gen, Distance=0.00480, Self=0.00480, Diff=0.00000
hsb_ufal-ud-test, Nearest=Gen, Distance=0.00063, Self=0.00063, Diff=0.00000
hsb_ufal-ud-train, Nearest=Gen, Distance=0.00179, Self=0.00179, Diff=0.00000
fi_tdt-ud-train, Nearest=Nom, Distance=0.00334, Self=0.00444, Diff=0.00110
fi_tdt-ud-test, Nearest=Dat, Distance=0.00336, Self=0.00463, Diff=0.00127
fi_tdt-ud-dev, Nearest=Dat, Distance=0.00353, Self=0.00463, Diff=0.00109
sr_set-ud-test, Nearest=Acc, Distance=0.00189, Self=0.00301, Diff=0.00111
sr_set-ud-train, Nearest=Acc, Distance=0.00224, Self=0.00326, Diff=0.00102
sr_set-ud-dev, Nearest=Acc, Distance=0.00208, Self=0.00311, Diff=0.00103
ar_pud-ud-test, Nearest=Acc, Distance=0.00315, Self=0.00437, Diff=0.00122
myv_jr-ud-test, Nearest=Acc, Distance=0.00439, Self=0.00633, Diff=0.00194
myv_jr-ud-train, Nearest=Acc, Distance=0.00502, Self=0.00680, Diff=0.00179
tr_framenet-ud-test, Nearest=Gen, Distance=0.00267, Self=0.00267, Diff=0.00000
tr_framenet-ud-train, Nearest=Gen, Distance=0.00207, Self=0.00207, Diff=0.00000
tr_framenet-ud-dev, Nearest=Gen, Distance=0.00244, Self=0.00244, Diff=0.00000
ky_ktmu-ud-train, Nearest=Gen, Distance=0.00159, Self=0.00159, Diff=0.00000
ky_ktmu-ud-test, Nearest=Nom, Distance=0.00361, Self=0.00518, Diff=0.00157
la_proiel-ud-test, Nearest=Gen, Distance=0.00363, Self=0.00363, Diff=0.00000
la_proiel-ud-dev, Nearest=Gen, Distance=0.00374, Self=0.00374, Diff=0.00000
la_proiel-ud-train, Nearest=Gen, Distance=0.00409, Self=0.00409, Diff=0.00000
kpv_ikdp-ud-test, Nearest=Acc, Distance=0.00528, Self=0.00704, Diff=0.00176
kpv_lattice-ud-test, Nearest=Acc, Distance=0.00444, Self=0.00608, Diff=0.00164
tt_nmctt-ud-test, Nearest=Gen, Distance=0.00476, Self=0.00476, Diff=0.00000
mpu_tudet-ud-test, Nearest=Dat, Distance=0.00517, Self=0.00705, Diff=0.00187
tr_gb-ud-test, Nearest=Acc, Distance=0.00217, Self=0.00358, Diff=0.00141
sv_lines-ud-dev, Nearest=Gen, Distance=0.00386, Self=0.00386, Diff=0.00000
sv_lines-ud-train, Nearest=Gen, Distance=0.00411, Self=0.00411, Diff=0.00000
sv_lines-ud-test, Nearest=Gen, Distance=0.00410, Self=0.00410, Diff=0.00000
grc_proiel-ud-test, Nearest=Acc, Distance=0.00271, Self=0.00429, Diff=0.00158
grc_proiel-ud-train, Nearest=Acc, Distance=0.00248, Self=0.00386, Diff=0.00139
grc_proiel-ud-dev, Nearest=Acc, Distance=0.00282, Self=0.00431, Diff=0.00149
nds_lsdc-ud-train, Nearest=Gen, Distance=0.00278, Self=0.00278, Diff=0.00000
nds_lsdc-ud-test, Nearest=Dat, Distance=0.00373, Self=0.00389, Diff=0.00015
fo_oft-ud-test, Nearest=Dat, Distance=0.00508, Self=0.00772, Diff=0.00265
ru_taiga-ud-train, Nearest=Acc, Distance=0.00208, Self=0.00290, Diff=0.00082
ru_taiga-ud-dev, Nearest=Acc, Distance=0.00275, Self=0.00436, Diff=0.00161
ru_taiga-ud-test, Nearest=Gen, Distance=0.00245, Self=0.00245, Diff=0.00000
fi_pud-ud-test, Nearest=Dat, Distance=0.00348, Self=0.00446, Diff=0.00097
ga_idt-ud-train, Nearest=Gen, Distance=0.00257, Self=0.00257, Diff=0.00000
ga_idt-ud-test, Nearest=Gen, Distance=0.00198, Self=0.00198, Diff=0.00000
ga_idt-ud-dev, Nearest=Gen, Distance=0.00209, Self=0.00209, Diff=0.00000
cs_cltt-ud-dev, Nearest=Gen, Distance=0.00157, Self=0.00157, Diff=0.00000
cs_cltt-ud-train, Nearest=Gen, Distance=0.00189, Self=0.00189, Diff=0.00000
cs_cltt-ud-test, Nearest=Gen, Distance=0.00150, Self=0.00150, Diff=0.00000
hy_armtdp-ud-train, Nearest=Acc, Distance=0.00441, Self=0.00608, Diff=0.00167
hy_armtdp-ud-dev, Nearest=Gen, Distance=0.00516, Self=0.00516, Diff=0.00000
hy_armtdp-ud-test, Nearest=Gen, Distance=0.00186, Self=0.00186, Diff=0.00000
is_gc-ud-test, Nearest=Gen, Distance=0.00168, Self=0.00168, Diff=0.00000
is_gc-ud-train, Nearest=Acc, Distance=0.00155, Self=0.00190, Diff=0.00034
is_gc-ud-dev, Nearest=Acc, Distance=0.00198, Self=0.00200, Diff=0.00002
ota_boun-ud-train, Nearest=Gen, Distance=0.00124, Self=0.00124, Diff=0.00000
ota_boun-ud-test, Nearest=Gen, Distance=0.00065, Self=0.00065, Diff=0.00000
et_edt-ud-dev, Nearest=Gen, Distance=0.00154, Self=0.00154, Diff=0.00000
et_edt-ud-train, Nearest=Gen, Distance=0.00182, Self=0.00182, Diff=0.00000
et_edt-ud-test, Nearest=Gen, Distance=0.00134, Self=0.00134, Diff=0.00000
ru_syntagrus-ud-train, Nearest=Gen, Distance=0.00104, Self=0.00104, Diff=0.00000
ru_syntagrus-ud-dev, Nearest=Gen, Distance=0.00075, Self=0.00075, Diff=0.00000
ru_syntagrus-ud-test, Nearest=Gen, Distance=0.00147, Self=0.00147, Diff=0.00000
grc_ptnk-ud-train, Nearest=Acc, Distance=0.00303, Self=0.00459, Diff=0.00156
grc_ptnk-ud-dev, Nearest=Acc, Distance=0.00214, Self=0.00336, Diff=0.00122
grc_ptnk-ud-test, Nearest=Acc, Distance=0.00274, Self=0.00448, Diff=0.00173
sv_pud-ud-test, Nearest=Gen, Distance=0.00360, Self=0.00360, Diff=0.00000
sjo_xdt-ud-test, Nearest=Gen, Distance=0.00203, Self=0.00203, Diff=0.00000
